tag,query,response
greetings,hi,Hello! How can I assist you today?
courses,what courses do you offer,"Our college offers a wide range of courses such as BCA, BBM, BHM, BSc.CSIT and BIM. For a comprehensive list of all the courses and programs, please visit our Academics page."
courses,can you tell me about the programs available,"Our college offers a wide range of courses such as BCA, BBM, BHM, BSc.CSIT and BIM. For a comprehensive list of all the courses and programs, please visit our Academics page."
courses,what are the majors and minors available at your college,"Our college offers a wide range of courses such as BCA, BBM, BHM, BSc.CSIT and BIM. For a comprehensive list of all the courses and programs, please visit our Academics page."
admission,how can i apply for admission,"To apply, visit our official website, create an account on the admissions portal, and complete the online form. Upload required documents, pay the application fee, and submit before the deadline. For details, see our Admissions page. Or do visit college physically."
contact,how can i contact the college," You can contact various departments at our college using the following information:  Reception: 01-5351711, Exam Department:01-4251711, Student Service: 01-5328807. For a complete list of contact details, please visit our Contact Us page."
contact,how can i contact to reception of college," You can contact various departments at our college using the following information:Reception: 01-5351711, Exam Department:01-4251711 , Student Service: 01-5328807. For a complete list of contact details, please visit our Contact Us page."
contact,how can i contact to exam department," You can contact various departments at our college using the following information:  Reception: 01-5351711, Exam Department:01-4251711 , Student Service: 01-5328807. For a complete list of contact details, please visit our Contact Us page."
contact,contact for student service," You can contact various departments at our college using the following information: , Reception: 01-5351711, Exam Department: 01-4251711, Student Service: 01-5328807. For a complete list of contact details, please visit our Contact Us page."
contact,how can i contact to admission office," You can contact various departments at our college using the following information: Reception: 01-4955458, Exam Department: 01-4986107, Student Service: 01-5328807. For a complete list of contact details, please visit our Contact Us page."
fees,can you provide details about the fee structure,The fee structure varies by course and program. Please visit our website for detailed information or do visit college personally.
fees,how much does it cost to attend your college,The fee structure varies by course and program. Please visit our website for detailed information or do visit college personally.
location,location of nccs,"It is located in Paknajol, Kathmandu, Nepal"
location,address of nccs,"It is located in Paknajol, Kathmandu, Nepal"
location,can you tell me about the location of college,"It is located in Paknajol, Kathmandu, Nepal"
affiliated,is your college affiliated with any organizations or universities,NCCS has been offering 5 academic programs affiliated to Tribhuvan University (TU)
affiliated,what affiliations does your college have,NCCS has been offering 5 academic programs affiliated to Tribhuvan University (TU)
affiliated,which institutions is your college associated with,NCCS has been offering 5 academic programs affiliated to Tribhuvan University (TU)
affiliated,is nccs college tu affiliated,NCCS has been offering 5 academic programs affiliated to Tribhuvan University (TU)
reviews,is nccs college a good college,"NCCS has been the best choice for those students who aspire practical, value-based, quality education for the best result in their academic career. "
fullform,nccs stands for,"""NCCS"" stands for National College of Computer Studies."
fullform,fullform of nccs,"""NCCS"" stands for National College of Computer Studies."
facilities,what facilities does nccs offer,"NCCS offers a range of modern facilities to support students in their academic and personal development. Such as labs, canteen, transportation, projectors, sports and so on."
mission,can you tell me about the mission of college,"Our mission is to build strong partnerships with schools, organizations, and communities to improve education in schools and workplaces."
vision,what is the vision of your college,"Our vision is to be a nationally recognized, innovative institution known for excellence in teaching and learning, fostering socially responsible, entrepreneurial global citizens."
founder,who is the founder of nccs,Prajwal Baniya Chettri is the founder of NCCS. 
car or bike,can i bring a car or bike to campus,"yes,you are allowed to bring your vehicles."
car or bike,can i bring a car in college,"yes,you are allowed to bring your vehicles."
car or bike,can i bring a bike in college,"yes,you are allowed to bring your vehicles."
car or bike,can i bring a scooty in college,"yes,you are allowed to bring your vehicles."
transportation,what transportation options are available on campus,"Yes, NCCS has a fleet of buses for student transportation, with experienced drivers, caretakers, and security guards."
transportation,is transportation available in college,"Yes, NCCS has a fleet of buses for student transportation, with experienced drivers, caretakers, and security guards."
parking,is parking available on college,"Yes,parking permits are available for students, teachers and staffs of college"
extracurricular activities,what extracurricular activities are available in college,"In college, a variety of extracurricular activities should be available such as workshop, college tour, exhibition, quiz, academic clubs, cultural activites and so on"
extracurricular activities,does college offer extracurricular activities,"In college, a variety of extracurricular activities should be available such as workshop, college tour, exhibition, quiz, academic clubs, cultural activites and so on"
safe,is nccs college safe,"Yes, the college is safe with 24/7 security, and guards at the gates. "
guards,are there security guards present at the college,"Yes, the college has security guards stationed at the Front and Rear Gates, ensuring 24-hour security ."
guards,is there any guards in college gate,"Yes, the college has security guards stationed at the Front and Rear Gates, ensuring 24-hour security  ."
wifi,is there wifi on campus,"Yes, we offer campus-wide Wi-Fi coverage, ensuring students have reliable internet access in classrooms, residence halls, and common areas."
wifi,is there wi-fi on campus,"Yes, we offer campus-wide Wi-Fi coverage, ensuring students have reliable internet access in classrooms, residence halls, and common areas."
wifi,what about wifi,"Yes, we offer campus-wide Wi-Fi coverage, ensuring students have reliable internet access in classrooms, residence halls, and common areas."
printing,can i print on campus,Printing services are available on campus at various locations. Students can print documents from computer labs or personal devices using our wireless printing service.
college timings,what are the college hours,"The college hours are as follows: +2 Management classes have mornings shift from 6:00 AM to 10:00 AM while the bachelor prograns have the day shifts from 11:00 AM to 4:30 PM. For Bachelor  programs, BBM, BCA, BIM, BHM and Bsc.CSIT  classes might run the classes in the morning shift in the senior semesters. The college observes holidays on weekends and festivals."
college timings,when does the college open/close,"The college hours are as follows: +2 Management classes have mornings shift from 6:00 AM to 10:00 AM while the bachelor prograns have the day shifts from 11:00 AM to 4:30 PM. For Bachelor  programs, BBM, BCA, BIM, BHM and Bsc.CSIT  classes might run the classes in the morning shift in the senior semesters. The college observes holidays on weekends and festivals."
college timings,when does college start,"The college hours are as follows: +2 Management classes have mornings shift from 6:00 AM to 10:00 AM while the bachelor prograns have the day shifts from 11:00 AM to 4:30 PM. For Bachelor  programs, BBM, BCA, BIM, BHM and Bsc.CSIT  classes might run the classes in the morning shift in the senior semesters. The college observes holidays on weekends and festivals."
weekends,is the college open on weekends,"No, the college is closed on weekends."
vacations,is college open on vacations,"No, the college remains closed on vacations."
buses,does college have buses,"Yes, NCCS has a fleet of buses for student transportation ."
library,is there a library or not,"Yes, the college has a well-equipped library with a wide range of books, journals, and digital resources to support students' academic needs. It provides a quiet space for studying and research, with access to computers and internet services."
library,how about library,"Yes, the college has a well-equipped library with a wide range of books, journals, and digital resources to support students' academic needs. It provides a quiet space for studying and research, with access to computers and internet services."
library,does nccs have library,"Yes, the college has a well-equipped library with a wide range of books, journals, and digital resources to support students' academic needs. It provides a quiet space for studying and research, with access to computers and internet services."
auditorium hall,does nccs have an auditorium hall,"Yes, NCCS has a multi-purpose auditorium with modern equipment, located in the semi-basement, with a 450-seat capacity. It hosts seminars, orientations, plays, and speaker presentations."
hostel,does nccs have hostel,NCCS does not have its own hostel facilities. 
hostel,what about hostel,NCCS does not have its own hostel facilities. 
about NCCS,tell me about nccs,"National College of Computer Studies (NCCS) in Nepal, an ISO 9001:2015 certified institution, offers quality education in  Management and Information Technology. With national and international collaborations, NCCS focuses on experiential learning to develop responsible and team-oriented individuals for a promising future."
about NCCS,what makes nccs unique,"National College of Computer Studies (NCCS) in Nepal, an ISO 9001:2015 certified institution, offers quality education in Management and Information Technology. With national and international collaborations, NCCS focuses on experiential learning to develop responsible and team-oriented individuals for a promising future."
about NCCS,why nccs,"National College of Computer Studies (NCCS) in Nepal, an ISO 9001:2015 certified institution, offers quality education in Management and Information Technology. With national and international collaborations, NCCS focuses on experiential learning to develop responsible and team-oriented individuals for a promising future."
benefits,what are the benefits of studying at nccs,"Studying at NCCS offers the benefits of quality education, international collaborations, experienced faculty, a focus on experiential learning, and a commitment to lifelong learning, all aimed at preparing students for a successful future."
publications,is there any publications of nccs,"Yes. Here are some related to publications at NCCS such as NCCS newsletter, NCCS education hub, and NCCS research journal(SRJ)."
NCCS newsletter,tell about nccs newsletter,"The NCCS Newsletter features news, views, ongoing educational activities, and short articles by faculty, guardians, educationists, entrepreneurs, and students. It covers various activities conducted within the college."
NCCS newsletter,what is nccs newsletter,"The NCCS Newsletter features news, views, ongoing educational activities, and short articles by faculty, guardians, educationists, entrepreneurs, and students. It covers various activities conducted within the college."
NCCS education hub,tell me about nccs education hub,"The NCCS Education Hub focuses on research-based articles related to education, health, and environment. It also includes short articles on diverse themes, poems, songs, ghazals, essays, and short stories."
NCCS education hub,what is nccs education hub,"The NCCS Education Hub focuses on research-based articles related to education, health, and environment. It also includes short articles on diverse themes, poems, songs, ghazals, essays, and short stories."
NCCS research journal,what is nccs research journal,"The NCCS Research Journal (SRJ) is a blind peer-reviewed multidisciplinary journal. It provides a scholarly platform for faculty, students, and external researchers to publish their research-based articles, ensuring quality and authenticity. The SRJ is available as a valuable resource at the NCCS library."
NCCS research journal,tell me about nccs research journal,"The NCCS Research Journal (SRJ) is a blind peer-reviewed multidisciplinary journal. It provides a scholarly platform for faculty, students, and external researchers to publish their research-based articles, ensuring quality and authenticity. The SRJ is available as a valuable resource at the NCCS library."
health services,is there a health service in college,"Yes, NCCS has a dedicated Nursing Station on campus that serves as an infirmary providing essential health services to students and staff."
medical services,what medical services are offered,"NCCS offers first-aid treatment, blood pressure screening, and basic health care services overseen by a full-time nurse."
mental health services,are mental health services available,"NCCS provides access to mental health services through counseling sessions facilitated by qualified professionals, ensuring support for students' emotional well-being."
counseling,how do i access counseling services,Students can access counseling services at NCCS by scheduling appointments through the Student Affairs Office or directly contacting the Counseling Center on campus.
fitness program,is there a fitness program or wellness activities,"NCCS offers a variety of wellness activities and fitness programs to promote physical health among students, including yoga classes, sports facilities, and organized fitness sessions."
teaching methodologies,what teaching methodologies are used at nccs,"NCCS adopts effective, scientific, and innovative teaching methodologies, integrating ICT in teaching practices and utilizing the latest international-standard pedagogy."
management team,who are the members of the management team at nccs college,"The management team at NCCS College consists of Prajwol Baniya Chhetri as the Campus Chief, Rajan Poudel serving as the Program Coordinator, and  fulfilling the role of Program Director. Sarita Shakya Pradhan manages International Relations, while Ravi Chapagain oversees academic matters for university programs and Himlal Pokharel heads the +2 Programs."
available sports,what sports facilities are available at nccs,"Our college offers a variety of sports facilities such as basketball, table tennis, badminton, chess, and football."
sports club,are there any sports clubs,"Yes, NCCS has several sports clubs that students can join, including clubs for basketball, table tennis, badminton, chess, and football."
dress code,is there a dress code policy at the nccs college,"Yes, the college has a dress code which is compulsory to wear."
dress code,is college dress is compulsory,"Yes, the college has a dress code which is compulsory to wear."
attendance,what are the rules about attendance,"Attendance is mandatory at the college, with a minimum requirement of 75% attendance in all classes to be eligible to sit for exams."
mobile phones,can students use mobile phones during classes,The use of mobile phones during classes at NCCS is generally discouraged unless it's for academic purposes permitted by the instructor
mobile phones,can i use mobile phones in class,The use of mobile phones during classes at NCCS is generally discouraged unless it's for academic purposes permitted by the instructor
cheating,is cheating allowed during exams at nccs,"Cheating during exams is strictly prohibited at NCCS. Any form of dishonesty, including copying, using unauthorized materials, or communicating with others, can result in severe penalties, such as failing the exam or even academic suspension."
eating in class,can student eat during class,"Eating during class at NCCS is generally discouraged to maintain a focused learning environment. However, specific guidelines may vary by instructor or department"
drinking water in class,is drinking water allowed during class at nccs,"Drinking water is generally permitted during class at NCCS to ensure students stay hydrated. However, it should be done discreetly and without causing disturbance to others."
bunking,is bunking class or college is allowed,Bunking classes or college at NCCS is strongly discouraged. Regular attendance is essential for academic success and may be mandatory for eligibility to sit for exams or receive course credits.
bunking,is bunking class allowed,Bunking classes or college at NCCS is strongly discouraged. Regular attendance is essential for academic success and may be mandatory for eligibility to sit for exams or receive course credits.
