tag,query,response
greetings,Hi,Hello! How can I assist you today?
greetings,Hello,Hello! How can I assist you today?
greetings,Hey there,Hello! How can I assist you today?
greetings,Good morning,Hello! How can I assist you today?
greetings,Good evening,Hello! How can I assist you today?
greetings,How are you?,Hello! How can I assist you today?
greetings,What's up?,Hello! How can I assist you today?
greetings,Greetings!,Hello! How can I assist you today?
greetings,Nice to meet you,Hello! How can I assist you today?
greetings,Hey NCCS,Hello! How can I assist you today?
courses,What courses are available?,We offer various undergraduate and graduate courses at NCCS.
courses,Tell me about your courses,We offer various undergraduate and graduate courses at NCCS.
courses,Which programs do you offer?,We offer various undergraduate and graduate courses at NCCS.
courses,List of courses at NCCS?,We offer various undergraduate and graduate courses at NCCS.
courses,Courses in NCCS,We offer various undergraduate and graduate courses at NCCS.
courses,Programs offered by NCCS,We offer various undergraduate and graduate courses at NCCS.
courses,Available departments?,We offer various undergraduate and graduate courses at NCCS.
courses,What can I study at NCCS?,We offer various undergraduate and graduate courses at NCCS.
courses,NCCS programs?,We offer various undergraduate and graduate courses at NCCS.
courses,Academic offerings?,We offer various undergraduate and graduate courses at NCCS.
admission,How to apply?,You can find admission details on our official website or contact the admin office.
admission,Admission process?,You can find admission details on our official website or contact the admin office.
admission,How can I get admitted?,You can find admission details on our official website or contact the admin office.
admission,What are the admission requirements?,You can find admission details on our official website or contact the admin office.
admission,NCCS admission criteria?,You can find admission details on our official website or contact the admin office.
admission,When is the admission open?,You can find admission details on our official website or contact the admin office.
admission,Admission details please,You can find admission details on our official website or contact the admin office.
admission,Can I apply online?,You can find admission details on our official website or contact the admin office.
admission,How to get admission in NCCS?,You can find admission details on our official website or contact the admin office.
admission,NCCS admission info?,You can find admission details on our official website or contact the admin office.
contact,How do I contact NCCS?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,NCCS phone number?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,Email of NCCS?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,Contact info?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,Can I talk to someone at NCCS?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,How to reach NCCS?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,Where can I call for help?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,Support phone number?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,College contact?,You can reach us at 01-123456 or info@nccs.edu.np.
contact,NCCS helpline?,You can reach us at 01-123456 or info@nccs.edu.np.
